Comentary,Feeling
"-Supportive leadership
-A culture built on respect and kindness
-Amazing mission to which employees are dedicated",1
"The company cares about the environment and its employees. Many perks such as acupuncture, free beer, etc. Strong initiatives such as the sustainability team, organizing company events. Awesome Christmas party!",1
Inconsistent communication at times. Living wage,0
Worked with a really nice group of people in brewing section. Direct line management was very good. Beer allowance. Share scheme. Unicorn fund bonus scheme. Discounts at BD outlets Pension and health scheme,1
"Lack of solid senior engineers, shrinking customer base, inability to shift focus off of being a ""one-platform-for-everyone in crowdfunding"" in an evermore fragmenting and specializing market, heavy bureaucratic process for deciding which projects get worked on, bad engineers who move up the ranks and have their failed pet projects waste limited resources, technical debt, technical debt, TECHNICAL DEBT",0
Astronomical growth doesn't come without its problems but the team are the best in the UK and deal with anything and everything that comes up,0
"You get tipped roughly 1 pound for every hour you work, some private healthcare (e.g. dental) and a coupon website where you can buy groceries for 5% off.",1
"* smart people
* passion for crowdfunding and helping entrepreneurs achieve their dreams
* concern for mental well-being from management
* no long hours",1
'unlimited pto' and being able to work remote,1
very good place to work with . The people are very supportive,1
Sometimes the workload gets too much.,0
"Good company benefits, decent shift lengths",1
Free product. Chill environment lots of training,1
It slowly became very corporate. Profits of parties!,0
pay more to your employees ,0
Autonomy and great support,1
- Opportunity to impact real people's lives through education - Competitive salary and incentives - Supportive employee resource groups,1
"Aesop takes pride in its employees, encouraging learning, training, community, and lasting relationships. Years later, I still love and respect Aesop staff, as well as the stores and products in them.",1
"Good people, good team, good customers",1
Monthly budget can be too ambitious at times,0
"Best training, very generous with employee discount and gratis, flexible schedule.",1
"everything else, not great managers, not great pay",0
Team Work and Good management,1
"Frequent lifting of big icecream tubs (for those who have physical restrictions), smelly expired dairy, seldom promotions",0
"great culture, benefits and history",1
Management can be a bit inconsistent - but are lovely,0
I think I learned the most from TOMS because they still run their shops like small mom and pops shops. I received a great deal of experience in running a small business. Their HR team was super amazing. Loved how I had access to the entire retail team including HR to your allocation teams. The trip out of the country was life changing and will never forget that. New owner seems to deeply care and have a extensive experience in retail. I'm excited for the company in the years to follow.,1
Unreliable employees not coming into shifts,0
I'm working with the prime Ice creme brand in the world,1
"Standard retail perks: Free product each six months and during product launches, relatively standard bonus scheme. There are relatively few late nights, few early mornings, and a standard of respectful communication is upheld by most office and retail teams.",1
"Low pay 
High political environment",0
"Good pay, decent hours. Nice coworkers.",1
"small store, only two locations, no possibility of growth",0
"Things are rapidly  changing, and the consensus among employees is a sense of discomfort and uncertainty.",0
There are no pros of working here. Maybe the employee discount.,1
Nothing negative in my experience,0
Good pay for part-time people,1
Very fun and helpful environment,1
friendly environment and good pay,1
"unstable hours, pay too low",0
sometimes the ice cream is hard to scoop,0
- unrealistic and unachievable targets - top down rather than bottom up for strategy - major redundancies in Europe,0
"Moves extremely quickly, not everyone can keep up!",0
"Small stores for most part so Keep alert for sudden rush of customers, small stockrooms yet they receive really high amounts of product and samples especially nearing holidays. Weekends are busy, not so easy to get a full two day weekend off. Unfortunately high amount of work gossip and irrelevant side talk, offensive and distracting and eats away at that family atmosphere you felt at first, soon feeling like a shark fight. I did not receive much official product training until about my 5th Month, they leave you on your own with that resulting in frustrating customer interactions when you can not properly describe a product to your customer. No supplemental training tools where provided.",0
Great mission Good compensation & benefits Individual access to Coursera courses and for Friends & Family 2 Global work weeks off in the year,1
"Monthly opportunities to earn sales incentive bonuses, working with high quality products, excellent benefits, received free good 3 times a year.",1
"TOMS is a company that is young and entrepreneurial. The people here are collaborative and genuinely care about each other and the company. The environment is relaxed and playful - you can typically find dogs to play with or a game of ping pong going on. Company events (""TOMS Holidays"") are held as sacred and are held each year, without fail. TOMS ensures that we have a lot of opportunities to connect and build relationships as a company.

I'm going to disagree with a lot of the other posts I've read on this site. I see that a great deal of posts complain about internal growth/career opportunities. From what I see at TOMS, employees feel that after having been with the company for a few years (often it was their first job out of college) that they are entitled to a promotion, even if they sincerely lack the skills/abilities for that next-level role. They think it's a given because they are passionate about the brand. Often managers are in the position to have to look externally because the skill set just doesn't exist in-house. We have a lot of passionate people who think they've got the skill set, but the reality is, they just don't.

Advice to all current TOMS employees: have an opinion about your career. Know what you want to do and go after it. Stop waiting for your manager (or HR) to hand it to you. The opportunities are there -- you just have to go and grab them.",1
"In spite of its maturity there are still aspects of the company that are start-up like. This includes growth spurts to flux in head count, management, and changes to house rules. Regardless, the growth is understandable and if you can accept that and roll with the punches then its all good.",0
Not much opportunity for growth from Sm to corporate,0
"The higher management are horrific. Constantly giving illegal shifts, bullying members of staff, harassing them and just in general being truly horrible people. You get screamed at for their mistakes and the bar manager is a truly unkind and straight up rude individual. You get treated like you've just defecated on their shoes and they're all so condescending and unpleasant. Staff turnover rate is insane and it's not a suprise no-one stays longer than a few months. If you want to be ridiculed, bullied and tormented constantly then this is the place for you. James watt constantly brings in his hook-ups and is unpleasant to staff and the manager stress out even more when he's around.",0
Twenty-five minutes from downtown Asheville (far),0
"Clear cliques, a hierarchy that constantly ""puts you in place"" and does anything to make sure you stay in that place. Lots of frowning upon individualism and diversity within the team. Surface-level support of employee well-being.",0
patchoulie smell from upstairs was rank,0
The company is very principled and really works to treat both its people and users well. We do what we think is right and aren't beholden to any investors or shareholders since the founders and employees retain control. I really really like every single person at the company. Amazing group of people.,1
"Your experience really depends on your coworkers. Luckily, I loved mine! If you are not comfortable working alone in the shop, or only with one person this isnt for you. Personally, I liked the freedom and learned some team management skills.",0
"The pay isn’t something to live off of. This is meant to be a high school / summer job with the wage of $13/hr,",0
"If you work in retail for this company, there's little to no room for growth. If you wish to work for corporate, they encourage internships (unpaid) that don't result in any kind of job offer after. I expressed multiple times before graduating my career goals, and all they offered me was assistant store manager (which in Aesop world, is pretty low on the totem pole). They're also very strict about their ""Aesop"" ways, and it's hard to convince them of other ideas. Can be super strict if managers or corporate people are around.",0
"They really look after their staff - beer allowance, healthcare, childcare vouchers etc..

Fast paced environment",1
Co-workers; benefits (though these have been getting slowly chipped away at over the last couple of years).,1
"None to speak of, really.",0
"From my experience, this was not a good place for women to work. There are a lot of publicly treasured golden boys who walk on water. Regardless of the many ""stats"" that may be shared with the employees that appear to show how edX is a great place for all who work there, what you cannot quantify is how the women are treated by male leadership and by their peers, when nobody is watching. That cannot be put into a graph, because nobody actually collected that data. You get what you measure. 

Being ""a great place to work for women"" is more than just offering a certain amount of maternity leave that is better than the average; that is a fancy trick to distract you from the real issues. How are the men treating the women when there aren't any witnesses? I didn't see this question on the engagement survey, and even if it were, nobody did anything with that engagement survey data anyway, did they? The ""First Rule of Data Collection"" should be ""Only collect data if you're really going to use it"".

Things took a turn for the worse after two very down-to-earth senior leaders departed the company. It changed the tenor of the entire operation.  I experienced and witnessed the biases towards the men here, and my female coworkers and I knew we would get nowhere sharing this with any remaining leadership. There are other companies where you might actually have a fair shot as a woman; this is not the place.",0
Ben & Jerry's truly supports their social mission with a full team in whose responsibility is to execute against that mission! They stand behind their beliefs even if it goes against the status quo.,1
"I had a great team of co-workers. If I didn't like my co-workers, I probably wouldn't have loved the job.",1
"Great staff and colleagues, excellent remuneration, growth and support",1
"-Most pros advertised when joining BD are not worth it, ‘pawternity leave’ incentive thrown in there but nobody uses it. 
Cicerone training for free, but if you don’t pass on your second go you have to pay £60 to retake it. 
-Management don’t care about staff well-being or safety, ignore threats made by other staff.
-EFP’s (shareholders) come for a drink and are extremely rude quite often, talk to you as if they own the place as they ‘pay your wage’ (they don’t).
-Head offices tell you about events that often include giving out free beer, meaning that they will be very busy events, with less than 24hr notice.",0
Not too many hours available,0
"Working with like-minded individuals
Creative work environment
Management is supportive
Fun job if you enjoy customer service
Potential for growth",1
"• High turnover in Management due to upper management. 
• Upper Management / Head Office staff are unbelievably awful to deal with and make everything difficult 
• Store Managers are unable to make decisions on their own. If you want to be a real manager - this is not the place for you. 
• You are to adhere to rules made in the 1990’s. If you dare to even suggest the slightest change, for an actual example “I have years worth of customer records on paper, just laying around - could I please have a small box to file them in? Possibly this $6 one from Officeworks?” You are hit with absolutely outrageous responses. The request must be put through and approved by Retail Ops. Who then send your request to your RBM, and also the Head of Retail Ops, and then they ask you … in a email including everyone they can think of, why? What size is the box? Where do you plan to put this box? Please send a photo of where you are thinking of putting this box. As if you wouldn’t know to store an A4 size $6 box in a cupboard or drawer. This went back and forth for 6 weeks before a phone conversation had to be had about it. 
That’s not an exaggeration. That’s a factual example. 
• Every part of your management style and previous skills are ignored. Aēsop wants you to conform. It’s their way or the highway. No personal belongings. Not your own drink bottle - you must only drink from Aēsop cups (recycled candle holders). No pens to be used unless they are black. No individually wrapped foods (even if it’s your own from home) The list is endless 
• There is close to zero chance of making your budget / bonus. There is no incentive to staff to work towards their targets. 
• You are isolated. Deliberately. All of your communication comes from your RBM. They limit your interactions with other managers. Very deliberately. 
• You are subjected to endless training sessions and visits from Trainers, who understandably must justify their wages, however, you and your staff are treated like Kindergarten students who are learning to behave for the first time. 
• Every single thing happening in the business is gate-kept. Like it’s going to change the world. 
• You do a mini stocktake once a week, if you get it wrong - that’s totally fine. You just give a reason or state “idk why” and that’s acceptable. If you get it right - exactly right more than 1 week in a row - someone will be sent out to count on your behalf. No one can ever be right.
* HR are unhelpful and will avoid as much as they can. When an incident arises, they will refer you to the EAP and leave you with it. An example, whilst being stalked and harassed by a physically abusive staff member, involving the police - not one time was support given from any upper management or HR. The staff member in question was put on 2 months of paid leave whilst the victims were made to make 4 statements and were constantly required to be on call, outside of their working hours. 
* Getting any assistance outside of Upper Management’s rigid business hours of 8.30-5 Monday to Friday is impossible. 
* The buildings are all in dire need of maintenance. Leaking taps, leaking sinks, leaking air conditioners. Mould is rampant through the buildings. Insects are everywhere. Some stores don’t even have working air conditioning and are extremely hot or freezing cold. The smells are repugnant and you’re told to cover it up with oil burners, candles and incense. 
* Work Health and Safety is only new to the companies policies and procedures. As long as it looks good, no one in Aēsop cares. Safework NSW have become involved but no one is allowed to talk to anyone about it. 
None of this is an exaggeration. All of this is factual. I could list many, many more things. I would not return to this company for $1million per day. I have not experienced anything like this place in my entire life. Don’t fall for it. They make it sound great. It’s not. Not in Sydney. Ask about the turnover, and dig deeper. Contact former staff members on LnkdIn. Ask them. Don’t do this to yourself, your family or your career.",0
"-401k plan
-free shoes every season
-partake in crafts and small events around the neighborhood",1
ben and jerry go worldwide,1
There's no really any cons.,0
"Free drinks at end of shift
flexible working hours",1
"Tiring and strange hours worked, although that is more attributed to the location of the store you work at. Each store can be operated differently. My store manager allowed the hiring of some sketchy people with strong hippy style, which was cool and interesting, except when I had to carry out disciplinary action for some who clearly had drug problems.",0
Different parts of the business do feel disjointed at times.,0
"Good culture, employees are cared for and the brand is true to its values. Generous product benefits too",1
Can be a little too aggressive on trying to make you sell more.,0
There's a lot to figure out with flexible work and we'll be experimenting together through any challenges that come up.,0
Work responsibilities is more demanding comparing to similar roles in other companies.,0
"Not a con for me, but for some people the constant experimentation and effort to iterate and improve may not be what they are looking for. For me, though, it is kind of like the best part of the startup environment, combined with the stability of a larger, more mature company.",0
"Nothing good to write about this company,unless you like free coffee",1
It’s great to work here if you have Great team members,1
"After completing my coding bootcamp through edX, I decided to join edX as a central grader as this felt like the natural next step for my career. They have treated me very well and loved the people that I have worked with. It's a great company to work for.",1
late night holiday hours/display windows/inventory,0
Directors are not clear in decision makjng,0
"Social side was great, beer was even better",1
as a manager the employee head count was very frustrating - making it difficult to acquire & keep quality staff & cover all shifts.,0
"People are great, the mission is great, the product is amazing.",1
Rapid experience and personal growth,1
Bad and long hours a lot,0
Good pension and health insurance,1
The people and it’s products,1
Upbeat and positive work environment.,1
"Flexible Hours, Good Pay, Good benifits",1
Continuous education training. A lot of animosity.,1
"- Recent drama revealing what the CEOs are like. 
- Wouldn’t trust the unicorn fund promise. 
- Hours: it’s bar work so obviously later hours than other jobs. In addition, you can work a close and then an open the next morning which isn’t enjoyable. Again, that’s just hospitality.",0
"There are clear favorites in every department or business segments. I've seen people get promoted every year or at least 1 promotion every two years. Others are overlooked, told they need to do more, but not given more work or opportunities to shine. So, basically how well can you manage up? How many meetings can you go to and show your face, put yourself out there, get known, build alliances with others so when they have their year end review, people say great things about you. The performance review is somewhat of a joke. I'm glad it is no longer discretionary and most of it is based on EBITDA. The company is running slim and there are still going to be some more layoffs. I still gave this company 3 stars because I for the most part enjoyed my time at TOMS. Every place is political, I just don't think you have to be an a%$ kisser to get ahead at ALL companies. Titles don't mean much just dictates your pay. A lot of top heavy positions, but not enough senior level employees to put in the hard work. Product is not that great, but they've put a lot of money on future seasons so maybe that will change. Lastly, at the end of the day, TOMS is a for profit business. They try to portray that they are contributing so much to help children, but they could easily just donate the money to those communities. People need food and water, paved roads, better infrastructure, not a pair of shoes which are the cheapest kind they purchase. It's the classic, give a man a fish, but don't teach him to be a fisherman. Change the give model to donate real resources and not shoes because it's 2017, A LOT of companies give back as part of their business model now!",0
Aren't really any other than lack of progression.,0
they were amazing and scrumptious,1
"Good pay package
Warm team
Healthy culture",1
"Vacation 
Black out dates
Retail
Hours
Standing all day",0
"Great office
Inspiring coworkers
Culture of learning
Emphasis on self development",1
love the free products and environment,1
-Friendly staff - Great discounts -Great environment,1
Flexible part time role whilst I was in college,0
Manager meetings were on Tuesdays and I had to leave since I had classes on tuesdays,0
"Generous product allowance, excellent training provided",1
A company built around a beautiful purpose with a lot of interesting people that have a lot of heart and soul. Originally built on a unique culture and good atmosphere.,1
"Growing pains are causing the company not to compensate its hourly employees well, especially considering the location is far from where most people live. It's easy to feel ignored or undervalued.",0
"Unable to connect with consumers and tell the impact story. 
Lack of Senior Leadership Team Talent & Ability to Manage Egos. 
Departmental Finger Pointing
Poor Financial Decision Making
Lack of proper goal setting, training, development, accountability For employees or leadership. Retribution and manipulation go unchecked.",0
Good company culture and good benefits.,1
I can not think of any cons.,0
Best colleugee and good place to work,1
Get to eat free ice cream,1
"Cool projects, relatively chill, and nice people",1
Mission driven. Great colleagues to work with.,1
They are very much great,1
"Flexi hours, good tips, good team",1
Management isn’t that good compared to other companies,0
"No cons for the company itself, just typical retail job woes. Located in a very busy mall, so some moments were high-stress.",0
"Decent pay, sometimes out of state training, you learn a lot about skin care, the culture of the brand is really interesting, you get to meet people higher up in the company, you feel very involved in the brand. Fine for a part time gig.",1
Cleaning at the end of shift.,0
"Great staff, Can be a fun work environment, accommodating regarding holidays",1
"- Lots of free product* (see cons)
- Flexible schedule
- Low key work environment most of the time",1
"The worst run company I have ever seen
Pathetic pay",0
"It's a family friendly workplace, Dog friendly, remote workplace compliant",1
low salary and bonuses are quite low,0
"- strong mission and business goal alignment
- smart, compassionate leadership
- competitive compensation",1
"Lots of very junior middle management, promoted via attrition and not ability or merit",0
"always either under stuff or over stuff
the manager is perverted and mean if he doesn't like you, but if he does you will have a easier job",0
"Since we are the flagship store, we are the guinea pigs for new products, good and bad.",0
Flexible and Virtual and lot of growth opps,1
"Great ice cream !!
We were paid weekly (that has changed)
Great neighbors on 100 Block
Laid back",1
"Lovely, aromatic products with no ""fluff"" ingredients with few exceptions (the reformulation, Parsley Seed Intense Serum, is absolutely stellar). Trainings intended to build a consultant's own style of presenting without being didactic, instead encouraging you to blend and try products yourself and share them to clients as you would a friend hosted in your home. For instance, the price range is on the lower end of luxury cosmetics, and yet they have been able to achieve a B Corp certification, collaborate with an Indigenous-run sandalwood farm for sourcing, support the growth of new disruptors within the industry with a venture fund, and reduce waste significantly by, among other things, using Australian recyclable waste with a splash of brown dye for their signature Hand Wash bottles. Aesthetics and ingredients will leave you inspired when you finish your shift. *The* ideal student job, I would say, down to the supportive salary, interesting and diverse employees and development of soft skills (through projects that you set for yourself with your manager). Tip for interviews: do not be afraid to talk about your own passion projects!",1
"- VFC communication
- supply chain shortages
- IT issues",0
Poor execution of company values at store level sometimes. It's a gamble depending on who your direct manager is. Poor transparency with firing practices.,0
"Work-life balance is a hard thing to find. The only constant is change - we're growing really fast so the organization keeps changing, with people moving around and a lot of new folks coming on board all the time. When so much is changing, it can be hard to stay focused on your own priorities.",0
"- Best culture in the valley. Everyone I've met here has been incredibly friendly, humble, super smart, and mission oriented. Having worked at many places in the Valley, including FANG, with both brogrammers and antisocial engineers, one cannot take that for granted. I am good friends with many of my coworkers, we are often found chatting with each other in the kitchen about everything under the sun, and many people hang out with each other after hours. It feels like a family.

- high impact. As an individual contributor you are working on major features from day one, and I have a lot of freedom to take ownership of the spec.

- Great work-life balance. You're trusted to get your work done and your managers support you and care about you as a person, not just an employee. Flexible WFH Wednesdays. As an engineer, if we need to modify timelines managers are generally understanding and will back you up instead of pressuring you.

- great growth potential. the new CEO is pushing the company in a profitable direction with online degrees, there's a lot of momentum with both university and industry partnerships, and we are in great financial shape heading into the new year. I'm excited for the future growth of the company.",1
"Even though I was Canadian, I was super welcomed! So grateful for the amazing staff.",1
"I worked here part-time while I went to school full-time and they were very flexible and understanding of my schedule. The pay is decent and when the managers aren't working, it's a fairly easy gig.",1
There really aren't any its a solid part time job,0
"none really, can't think of anything",0
The layoffs in November 2022 were sudden and leadership could have had a transparent plan in place to share for how we will move forward and ideally avoid this situation again. It has taken a few months to mentally recover from losing colleagues and the 2023 economic environment in tech is still worrisome. Remote-first means you have to focus on building relationships with peers and across departments in this environment. You have to be outgoing to show your impact. Very high standards for performance and being remote-first means you can feel isolated and stressed if you do not find the proper outlets. Many layers of management on Enterprise makes it hard to feel seen unless working on high visibility/impact accounts.,0
"Great staff and atmosphere, as long as the job gets done they're happy chaps, no bureaucratic nonsense.",1
"Weak leadership, declining revenue, no vision",0
Change in culture - more target driven - after sale to managing company,0
Struggled to find any routes to progress. Had a negative experience interviewing for an internal position where I put a lot of time into the second round and received no response. Had to chase before being rejected.,0
Work from home Great bosses,1
"TOMS has a plethora of perks. Wonderful office environment, a VERY disarming leadership team, the ""one-for-one"" mantra, solid benefits and a flex work policy. If you're just starting your career, or looking to develop yourself in an entrepreneurial, problem-solving environment, TOMS is a perfect match. Expect a solid amount of autonomy and encouragement from your peers and superiors.  During my time there, I found my Supply Chain superiors to be exceptional - especially the current VP of Distribution, Logistics and Supply Chain Planning. Was an honor to work for/with them all. Additionally, the former CEO, was an exceptional, caring human being. He will be missed dearly.",1
Proper solid management. Enjoyed it,1
Amazing people below the leadership level.,1
"- Company philosophy & value
- Pride & belief in products
- Learning experience
- Great culture
- Growth Potential",1
Of course communication can get convoluted in growing business so sometimes that made things more difficult but that's anywhere. Very difficult to get the amount of work done with a short staff yet working to sustain your business and also not being allowed to work more than 40 hours.,0
senior management isn't held accountable for their poor choices,0
Schizophrenic management structure. Hard to find the right person for a problem.,0
Not well payed considering the work you are expected to do,0
Fun and not difficult to learn,1
Confusing or contradictory directions from upper level management.,0
Fun atmosphere. Good place to work while in school.,1
The company has so much potential but no clear vision. Communication at the senior management level could be improved.,0
"Fun and easy job, especially with the fun staff. I have made some of my closest friends by working there. Awesome pay and great benefits.",1
Unique and nurturing culture. Helpful training and support. Wonderful products and beautiful spaces to work in. Good interest in sustainably and supporting communities.,1
the operations manager was very genuine.,1
"Not a good time to join a company who is lost on it’s identity. It has not been the One for One model for a very long time and the best selling famous style is not trending so this company is struggling. There is currently a disconnect between the CEO, Marketing, Product Team and Sales Teams on what the brand should be. It is unrecognisable as the inspiring company started by Blake Mykoskie. The future does not look good today. They have been having random group lay-offs for the past 3 years. No one should feel secure in their position here. The closure of the Flagship store last year shows you that leadership makes very poor decisions. The Sales team have no direction and less and less customers so I would not recommend joining Toms at this time.",0
"- Great Manager (Patrick)
- Great brand recognition",1
"Wage, schedules, tips, managers, alergies",0
Flexible Easy Content that was timely,1
"Cross-departmental communication can be frustrating. The pace of the workday can be frantic, allowing things that matter to one person to fall through the cracks on account of another. Recent changes have people on edge and not always trusting the words they hear (as they don't always match the subsequent actions)",0
"made us do manual labor during the pandemic like repaint all the sheds outside in 90° weather, repaint the bathrooms, repaint all the benches. it was terrible busy work that was enough to make you quit. did it all because the manager told us to and then she ended up leaving to yeti",0
"Good atmosphere, after work free pint, training",1
Co-workers are nice and the job is not hard.,1
"good discounts, good employees, good culture",1
"Core product is great and an essential tool for many to make progress in their careers
Free Coursera access (but no time to make use of it)
Permanent WFH policy
Diverse team",1
Beautiful Spaces and considered products,1
Easy first job where you can learn important skills in communication and finance,1
flexible schedule with personal life,1
haven't been around long enough. It's been good.,0
NO cons noted till now,0
terrible overhead conditions upper management,0
"The hours are long, and customers can be frustrating",0
Got discounts up to 30% off,1
"This is a small company with a sprawling national footprint. The owners are very good at purchasing franchises. They are not good at managing. The bottom line will mean more than work-life balance. There is no work-life balance, actually, busy or off-season. They use the word family a lot but that isn't actually a priority. Making money is, which is the name of the game but you don't retain employees like that. You will have to manage your career path as there isn't an active development program for careers unless you want to be a franchise owner. That leans towards the men. There are no female franchise owners. I never or seen them develop any female employees for franchise ownership (I know they inquired). 

You have a strong DEI committment. That should apply to women of color in senior leadership roles (beyond Assistants).",0
Not a lot of room for growth,0
The brand is a fun household name,1
"Living wage, progression, holiday entitlement",1
not sure there are many,0
"Intense & fast-moving, fun events and lively atmosphere",1
"High end equipment, high quality standards, good access to ppe/workwear. A beautiful facility and product that impresses the consumer.  Pay a little above average and benefits good.",1
Free food and snacks if you're into that sort of thing - the company's mission is meaningful.,1
The way they treat their managers,0
"Minimum wage salary without raise or benefits whatsoever, and only hires par-timers, the only full time is the manager.",0
No career path for the long term,0
Love the work culture so much,1
Excellent product and generous employee gratis,1
Aesop offers and untraditional retail experience that values its employee's wellbeing. It feels great working amongst other creative individuals. The working environment is mostly calm but can get busy.,1
"Unrealistic goals, poor work-life balance for most employees, poor management accountability, poor internal development in most organizations, do not utilize their own product like they should because of the lack of work-life balance. Leadership was greedy during layoffs. Coursera’s strong financial position with no debt (close to $1B in assets) and executives with 8-figure salaries (plus bonus) were given a substantial amount of RSU’s without vesting cliffs granted in Oct and received in Nov shortly after the layoff. Other prominent organizations with layoffs considered the impact to those laid-off and accelerated the grants and waived vesting cliffs. For a B corp company which prides itself on doing the right thing and investing in its people, senior leadership quickly forgot that philosophy when it came to receiving RSUs. Great WSJ article on how Coursera handled their layoffs.",0
No cons because the company cares about its employees,0
Comped Product. Aesthetically pleasing store fronts and product education.,1
Working there helped to fine tune my skills but after applying to other retailers I learned how low the pay was in retrospect to the work I was doing.,1
"Benefits are cheap, free beer",1
"Fun, busy atmosphere if you enjoy craft beer and talking with customers about it.",1
Awesome due to my own view,1
"Amazing place to work at, really fun, enjoyed all of my coworkers and the benefits were lovely",1
Understaffing is an issue in busy locations,0
"Monotonous
Repetitive
Owner has issues with memory
Customers are trash usually now (Miami)
On feet all of shift",0
"positive environment, hands-on work, inclusive team",1
Brain freeze from too much ice cream,0
the working hours at Brewdog,0
Very collaborative inclusive culture. You meet great nice people.,1
- Free products - Good discounts - PTO,1
Awesome Working Experience and Learnt A lot,1
"Great opportunity to learn to learn how to communicate with customers and learn to deal with random unforeseen circumstances. The job is not stressful or difficult by any means, and provides a great opportunity to grow during the slower winter months where you can do other work during your downtime. Great chance to learn leadership roles as a manager/experienced employee and learn to teach new employees, who come and go fairly often. Tips are also plentiful, especially as you become better at customer service.",1
"Free Shoes and Glasses
Nice Pay",1
"Intelligent employees, fast-paced work environment. 
Unique opportunity to gain experience working in both retail & food/bev simultaneously, with the addition of the latest product. 
Giving message is felt strongly within the walls of HQ, and employees are definitely well screened for culture fit.",1
Staff excluding managers are amazing,1
You can be a multiplayers by doing many kinds of works including other position's works.,1
A better structure of growing in training. Though there is a lot of traning ongoing. This is career wise.,0
"Lack of senior leadership
Layoffs 
Lost sight of the original mission.
 Investors and founder do not share the same vision.",0
As above; enjoyed every single bit of it!,0
"-Free menu item daily
-The store is cute and upbeat
-Customers were usually happy
-Expand skills (example: learning to make and decorate ice cream cakes)",1
Monotonous work tasks with limited creative freedom and strict dress code,0
Dealing with rude customers but that is all jobs,0
"Some nice beers, some staff you work with are lovely",1
high pressure environment working but rewarding,0
"India leadership is not supportive at all.
Before accepting the offer ask these questions from the Sales Head:
1. How many sellers stay in Coursera even after 1 year? 
You may be surprised to learn that most of them leave within 4-6 quarters because they realise that that territory they have has been allocated does not allow them to even come close to quota
2. How many sellers met the quota last year? Why did they not meet quota? All were poor??
3. Sales leadership is disinterested in career development and keeps hiring and firing sellers",0
"There has been an increasing, egregious lack of consideration for employees. This ongoing deterioration has only accelerated and intensified under new corporate direction. In spite of diversionary tactics such as empathy trainings and wholesome, long-term goals for Kiehl's, corporate actions toward employees have demonstrated the antithesis of such values and practices. Instead of being forthcoming and transparent, corporate has kept employees in the dark about their futures in the company; instead of honesty, we have gotten euphemisms - ""service-focused scheduling models"" and unmentionable inanities about selling techniques, composed with the inclusion of emojis. Such flimsily yet thickly veiled proceedings are not positive for anyone involved, and to dress them up in any other way is disingenuous, insulting, and in bad faith. We deserve respect. A company that is solely profit-driven with little regard for the livelihoods of its employees is one of which I cannot be a part. What is happening now will only foster an adversarial relationship between a company and its employees; both will suffer.",0
* Great for learning * Coursera for life * Friendly team * Great pay & benefits * Unlimited PTO,1
